Year,versus,Runs,Ball faced,4s,6s,how dismissed,Man of the match
2012,Zimbabwe,91, 54, 5, 6,not out,yes
2012,South Africa ,78, 55, 5, 4,not out,yes
2012,South Africa ,47, 35, 7, 1,caught,No
2012,South Africa ,26,19, 3, 1,caught,No
2012,West Indies,11, 9, 2, 0,stumps,No
2012,West Indies,18, 18, 2, 1,caught,No
2012,India,1, 5, 0, 0,bowled,no
2012,Bangladesh,11, 14, 0, 1,bowled,No
2012,Sri Lanka,38, 30, 6, 0,caught,No
2012,England,5, 6, 1, 0,lbw,No
2012,West Indies,21, 27, 2, 0,caught,No
2012,South Africa ,101, 69, 9, 6,not out,Yes
2012,South Africa ,24, 20, 3, 1,caught,No
2009,Australia,0, 2, 0, 0,lbw,No
2009,India,41, 28, 4, 3,lbw,No
2009,India,10, 19, 1, 0,lbw,No
2009,South Africa ,6, 5, 1, 0,caught,no
2009,ireland,45, 32, 0, 4,not out,No
2009,Pakistan,8, 8, 1, 0,lbw,no
2009,Sri Lanka,43, 34, 4, 1,caught,No
2009,Sri Lanka,29, 25, 2, 1,caught,no
2009,Sri Lanka,52, 37, 3, 3,bowled,no
2009,Pakistan,8, 4, 2, 0,caught,no
2009,Pakistan,17, 21, 3, 0,bowled,No
2010,Australia,30, 29, 4, 0,caught,No
2010,Australia,17, 17, 3, 0,caught,no
2010,Sri Lanka,19, 24, 1, 1,bowled,no
2010,Zimbabwe,6, 12, 0, 0,not out,no
2010,South Africa ,18, 19, 3, 0,caught,no
2010,Pakistan,2, 10, 0, 0,caught,no
2010,Sri Lanka,10, 10, 0, 0,bowled,no
2010,Pakistan,54, 29, 4, 4,run out,no
2010,Pakistan,44, 28, 3, 3,caught,No
2010,Pakistan,0, 2, 0, 0,caught,no
2018,West Indies,2, 4, 0, 0,caught,No
2018,West Indies,63, 38, 5, 2,caught,no
2018,Pakistan,2, 6, 0, 0,caught,no
2018,Pakistan,26, 27, 1, 1,caught,no
2018,Pakistan,59, 43, 2, 4,caught,no
2018,Australia,5, 5, 1, 0,bowled,no
2018,England,65, 40, 6, 3,caught,no
2018,Australia,105, 54, 6, 9,caught,no
2018,England,62, 47, 3, 4,bowled,no
2018,Australia,21, 15, 2, 1,caught,no
2017,West Indies,25, 16, 3, 1,caught,No
2017,West Indies,1, 4, 0, 0,caught,no
2017,England,11, 9, 2, 0,caught,no
2017,South Africa ,22, 25, 3, 0,caught,no
2017,Netherlands,9, 15, 1, 0,caught,No
2017,Sri Lanka,5, 9, 0, 0,run out,no
